zip,type,primary_city,state,county,timezone,area_codes,latitude,longitude,irs_estimated_population
99501,STANDARD,Anchorage,AK,Anchorage Municipality,America/Anchorage,907,61.22,-149.85,12210
99502,STANDARD,Anchorage,AK,Anchorage Municipality,America/Anchorage,907,61.16,-149.99,21350
99503,STANDARD,Anchorage,AK,Anchorage Municipality,America/Anchorage,907,61.18,-149.88,12160
99504,STANDARD,Anchorage,AK,Anchorage Municipality,America/Anchorage,907,61.2,-149.75,35600
99505,STANDARD,Jber,AK,Anchorage Municipality,America/Anchorage,907,61.26,-149.6,5020
99506,STANDARD,Jber,AK,Anchorage Municipality,America/Anchorage,907,61.27,-149.79,5590
99507,STANDARD,Anchorage,AK,Anchorage Municipality,America/Anchorage,907,61.14,-149.76,33440
99508,STANDARD,Anchorage,AK,Anchorage Municipality,America/Anchorage,907,61.2,-149.82,27860
99513,STANDARD,Anchorage,AK,Anchorage Municipality,America/Anchorage,907,61.21,-149.89,0
99515,STANDARD,Anchorage,AK,Anchorage Municipality,America/Anchorage,907,61.11,-149.9,20840
99516,STANDARD,Anchorage,AK,Anchorage Municipality,America/Anchorage,907,61.08,-149.7,19800
99517,STANDARD,Anchorage,AK,Anchorage Municipality,America/Anchorage,907,61.19,-149.94,13710
99518,STANDARD,Anchorage,AK,Anchorage Municipality,America/Anchorage,907,61.15,-149.88,8720
99529,STANDARD,Anchorage,AK,Municipality of Anchorage,America/Anchorage,907,61.18,-149.98,0
99530,STANDARD,Anchorage,AK,Municipality of Anchorage,America/Anchorage,907,61.26,-149.97,0
99540,STANDARD,Indian,AK,Anchorage Municipality,America/Anchorage,907,61,-149.43,220
99556,STANDARD,Anchor Point,AK,Kenai Peninsula Borough,America/Anchorage,907,59.82,-151.59,2110
99567,STANDARD,Chugiak,AK,Anchorage Municipality,America/Anchorage,907,61.41,-149.17,8330
99568,STANDARD,Clam Gulch,AK,Kenai Peninsula Borough,America/Anchorage,907,60.21,-151.4,260
99572,STANDARD,Cooper Landing,AK,Kenai Peninsula Borough,America/Anchorage,907,60.49,-149.82,400
99573,STANDARD,Copper Center,AK,Valdez-Cordova Census Area,America/Anchorage,907,61.68,-145.14,800
99577,STANDARD,Eagle River,AK,Anchorage Municipality,America/Anchorage,907,61.21,-149.25,25860
99586,STANDARD,Gakona,AK,Valdez-Cordova Census Area,America/Anchorage,907,62.83,-143.43,380
99588,STANDARD,Glennallen,AK,Valdez-Cordova Census Area,America/Anchorage,907,62.1,-145.53,1270
99599,STANDARD,Anchorage,AK,Municipality of Anchorage,America/Anchorage,907,61.21,-149.86,0
