ZipCode,City,State,HomeSale,HomeBaseValue,HomeMaxValue,MedianListPrice,MedianSoldPrice,Year
10001, New York, NY,139,111,49500000,2400000,2200000,2022
10002, New York, NY,315,399000,16000000,1300000,1700000,2022
10003, New York, NY,325,250000,25000000,1400000,1200000,2022
10004, New York, NY,45,450000,35000000,1100000,950000,2022
10005, New York, NY,131,499000,19100000,1300000,1500000,2022
10006, New York, NY,48,239900,6500000,989000,932500,2022
10007, New York, NY,93,1100000,59000000,3000000,3200000,2022
10009, New York, NY,93,160000,24800000,1500000,856600,2022
10010, New York, NY,253,299000,58000000,1500000,885000,2022
10011, New York, NY,425,365000,36000000,1900000,1100000,2022
10012, New York, NY,138,399000,35000000,3400000,2700000,2022
10013, New York, NY,208,499000,65000000,4300000,3700000,2022
10014, New York, NY,199,412000,44000000,1500000,1500000,2022
10016, New York, NY,480,295000,25000000,1200000,965000,2022
10017, New York, NY,214,245000,40000000,650000,750000,2022
10018, New York, NY,40,575000,24000000,1400000,1300000,2022
10019, New York, NY,379,10000,66000000,1500000,1300000,2022
10021, New York, NY,485,999,32000000,1400000,897500,2022
10022, New York, NY,669,79000,68000000,1300000,925000,2022
10023, New York, NY,519,80000,65000000,1400000,1100000,2022
10024, New York, NY,340,359000,40000000,1800000,1800000,2022
10025, New York, NY,284,150000,16500000,1300000,1300000,2022
10026, New York, NY,135,244900,5500000,880000,1200000,2022
10027, New York, NY,172,150000,19500000,949000,530000,2022
10028, New York, NY,379,260000,42000000,1700000,1500000,2022
10029, New York, NY,85,269000,15500000,848000,835000,2022
10030, New York, NY,70,199000,5500000,649000,700000,2022
10031, New York, NY,98,169000,4500000,645000,706300,2022
10032, New York, NY,57,190000,5800000,618300,499500,2022
10033, New York, NY,61,210000,2000000,681500,670000,2022
10034, New York, NY,57,190000,2000000,427000,362500,2022
10035, New York, NY,57,210000,4000000,739500,640000,2022
10036, New York, NY,197,349000,85000000,995000,962000,2022
10037, New York, NY,24,225000,3900000,499000,0,2022
10038, New York, NY,102,65000,12500000,1100000,1500000,2022
10039, New York, NY,25,265000,830000,492500,0,2022
10044, New York, NY,19,459000,1500000,987000,0,2022
10065, New York, NY,388,300000,60000000,1700000,1700000,2022
10069, New York, NY,62,749000,38000000,2100000,2100000,2022
10075, New York, NY,263,299000,80000000,1400000,1200000,2022
10128, New York, NY,415,250000,33000000,1400000,1300000,2022
10280, New York, NY,40,475000,4500000,950000,675000,2022
10282, New York, NY,2,6200000,18800000,1900000,0,2022
10301, Staten Island, NY,203,65000,3700000,570000,480000,2022
10302, Staten Island, NY,61,395000,11100000,559500,574800,2022
10303, Staten Island, NY,118,99000,1800000,468000,460000,2022
10304, Staten Island, NY,209,150000,11600000,661000,651500,2022
10305, Staten Island, NY,172,99000,5300000,639000,645000,2022
10306, Staten Island, NY,240,4500,3900000,669900,670000,2022
10307, Staten Island, NY,69,319000,4600000,743500,840000,2022
10308, Staten Island, NY,130,116000,4600000,665000,613000,2022
10309, Staten Island, NY,138,324000,4300000,669000,715000,2022
10310, Staten Island, NY,110,175000,2600000,599000,407500,2022
10312, Staten Island, NY,256,160000,3300000,685000,655000,2022
10314, Staten Island, NY,282,10000,17000000,650000,640000,2022
10451, Bronx, NY,30,99000,5300000,310000,310500,2022
10452, Bronx, NY,25,110000,1200000,204000,0,2022
10453, Bronx, NY,32,155000,1200000,249900,0,2022
10454, Bronx, NY,12,799900,1500000,879000,0,2022
10455, Bronx, NY,21,170000,4200000,285000,0,2022
10456, Bronx, NY,63,59900,1400000,400000,0,2022
10457, Bronx, NY,51,69000,3600000,525000,0,2022
10458, Bronx, NY,56,75000,7000000,240000,0,2022
10459, Bronx, NY,38,133000,1600000,399000,0,2022
10460, Bronx, NY,50,86500,2000000,192300,0,2022
10461, Bronx, NY,110,129500,3200000,650000,0,2022
10462, Bronx, NY,160,94900,1600000,215000,236500,2022
10463, Bronx, NY,283,69300,3400000,365000,319500,2022
10464, Bronx, NY,21,99900,4500000,649000,0,2022
10465, Bronx, NY,180,65000,3500000,610000,655000,2022
10466, Bronx, NY,130,95000,1300000,580000,540000,2022
10467, Bronx, NY,142,79000,13500000,225000,0,2022
10468, Bronx, NY,68,68000,6000000,249000,0,2022
10469, Bronx, NY,153,75000,3200000,638900,575000,2022
10470, Bronx, NY,42,99000,1400000,549000,0,2022
10471, Bronx, NY,199,129000,8600000,349900,385800,2022
10472, Bronx, NY,29,99500,3600000,599000,0,2022
10473, Bronx, NY,84,160000,1900000,509500,565000,2022
10474, Bronx, NY,5,90000,779000,0,0,2022
10475, Bronx, NY,16,185000,2500000,0,0,2022
10501, Amawalk, NY,3,550000,1100000,724900,0,2022
10502, Ardsley, NY,16,150000,4000000,719000,0,2022
10504, Armonk, NY,44,250000,8900000,1400000,0,2022
10506, Bedford, NY,25,495000,65000000,1300000,0,2022
10507, Bedford Hills, NY,9,155000,8000000,774000,0,2022
10509, Brewster, NY,81,109000,14900000,519900,0,2022
10510, Briarcliff Manor, NY,26,250000,3200000,849000,0,2022
10511, Buchanan, NY,7,269000,685000,499900,0,2022
10512, Carmel, NY,96,40000,1800000,390000,635000,2022
10514, Chappaqua, NY,29,355000,5000000,1300000,0,2022
10516, Cold Spring, NY,28,60000,985000,682000,0,2022
10518, Cross River, NY,3,249000,439000,725000,0,2022
10520, Croton-on-Hudson, NY,44,24000,4000000,699500,0,2022
10522, Dobbs Ferry, NY,16,195000,1600000,786000,0,2022
10523, Elmsford, NY,24,120000,1100000,625000,0,2022
10524, Garrison, NY,28,30000,12300000,682000,0,2022
10526, Golden's Bridge, NY,5,399000,1900000,599000,0,2022
10527, Granite Springs, NY,3,299000,100000000,689000,0,2022
10528, Harrison, NY,26,146000,5500000,1300000,0,2022
10530, Hartsdale, NY,45,130000,1800000,498000,0,2022
10532, Hawthorne, NY,3,525000,600000,589900,0,2022
10533, Irvington, NY,36,235000,6800000,832000,0,2022
10536, Katonah, NY,30,500000,12500000,938000,0,2022
10537, Lake Peekskill, NY,15,22000,675000,375000,0,2022
10538, Larchmont, NY,38,125000,3300000,1100000,0,2022
10541, Mahopac, NY,70,59900,1800000,500000,0,2022
10543, Mamaroneck, NY,59,89900,6500000,774000,0,2022
10546, Millwood, NY,5,575000,1900000,897000,0,2022
10547, Mohegan Lake, NY,29,70000,1300000,400000,0,2022
10548, Montrose, NY,7,169000,778000,464000,0,2022
10549, Mount Kisco, NY,53,85000,16500000,729000,0,2022
10550, Mount Vernon, NY,76,125000,2200000,489000,0,2022
10552, Mount Vernon, NY,90,75000,2000000,359500,0,2022
10553, Mount Vernon, NY,25,90000,4000000,399000,0,2022
10562, Ossining, NY,46,98000,3100000,524500,0,2022
10566, Peekskill, NY,72,35000,1900000,395000,0,2022
10567, Cortlandt Manor, NY,42,75000,1200000,565000,0,2022
10570, Pleasantville, NY,25,175000,1800000,774000,0,2022
10573, Port Chester, NY,82,82000,2200000,645000,0,2022
10576, Pound Ridge, NY,27,225000,6500000,1400000,0,2022
10577, Purchase, NY,23,925000,7800000,2100000,0,2022
10578, Purdys, NY,1,599900,599900,599900,0,2022
10579, Putnam Valley, NY,54,14900,3000000,520000,0,2022
10580, Rye, NY,58,189000,15000000,1900000,0,2022
10583, Scarsdale, NY,131,151000,8000000,1200000,0,2022
10588, Shrub Oak, NY,3,430000,900000,462500,0,2022
10589, Somers, NY,32,360000,1200000,549000,0,2022
10590, South Salem, NY,28,39900,8000000,749300,0,2022
10591, Tarrytown, NY,51,145000,19500000,725000,0,2022
10594, Thornwood, NY,15,245000,3000000,750000,0,2022
10595, Valhalla, NY,16,49000,1500000,712500,0,2022
10598, Yorktown Heights, NY,72,100000,2500000,575000,0,2022
10601, White Plains, NY,61,89000,4500000,385000,0,2022
10603, White Plains, NY,51,119900,885000,424000,0,2022
10604, West Harrison, NY,16,600000,1400000,799000,0,2022
10605, White Plains, NY,51,63500,1900000,692500,0,2022
10606, White Plains, NY,39,77500,5300000,558000,0,2022
10607, White Plains, NY,22,139900,1700000,699000,0,2022
10701, Yonkers, NY,117,40900,4900000,380000,0,2022
10703, Yonkers, NY,50,59900,1500000,333700,0,2022
10704, Yonkers, NY,72,57000,1300000,349000,0,2022
10705, Yonkers, NY,72,85000,3300000,595000,0,2022
10706, Hastings-on-Hudson, NY,20,125000,1800000,850000,0,2022
10707, Tuckahoe, NY,26,179000,2000000,699500,0,2022
10708, Bronxville, NY,125,1800,7500000,399000,0,2022
10709, Eastchester, NY,22,227500,2900000,839000,0,2022
10710, Yonkers, NY,100,65000,1400000,583000,635000,2022
10801, New Rochelle, NY,62,115000,4700000,507500,0,2022
10803, Pelham, NY,31,140000,2900000,969000,0,2022
10804, New Rochelle, NY,49,118000,5200000,899000,0,2022
10805, New Rochelle, NY,42,114900,2100000,339000,0,2022
10901, Suffern, NY,77,65000,2000000,599900,0,2022
10913, Blauvelt, NY,9,579000,1800000,662500,0,2022
10916, Campbell Hall, NY,33,79900,2800000,520000,0,2022
10917, Central Valley, NY,4,355000,3500000,599900,0,2022
10918, Chester, NY,44,179000,2000000,475000,0,2022
10919, Circleville, NY,6,154900,549900,422000,0,2022
10920, Congers, NY,10,465000,839000,599000,0,2022
10921, Florida, NY,16,130000,28000000,355000,0,2022
10923, Garnerville, NY,13,223900,625000,535000,0,2022
10924, Goshen, NY,55,15000,4000000,456000,0,2022
10925, Greenwood Lake, NY,45,12500,9500000,380000,0,2022
10926, Harriman, NY,13,184900,1600000,205000,0,2022
10927, Haverstraw, NY,13,275000,1200000,325000,0,2022
10928, Highland Falls, NY,11,285000,1500000,340000,0,2022
10930, Highland Mills, NY,44,60000,2400000,469900,0,2022
10940, Middletown, NY,165,4800,2000000,329900,312500,2022
10941, Middletown, NY,47,109000,1800000,391100,0,2022
10950, Monroe, NY,111,35000,6500000,459900,0,2022
10952, Monsey, NY,42,125000,4500000,940000,0,2022
10954, Nanuet, NY,42,235000,2200000,499900,0,2022
10956, New City, NY,59,350000,5200000,655500,0,2022
10958, New Hampton, NY,18,79500,1300000,519000,0,2022
10960, Nyack, NY,47,65000,5000000,625000,0,2022
10962, Orangeburg, NY,14,285000,2200000,649500,0,2022
10963, Otisville, NY,10,119000,608000,349800,0,2022
10964, Palisades, NY,9,599000,6500000,1400000,0,2022
10965, Pearl River, NY,29,215000,1700000,569000,0,2022
10968, Piermont, NY,19,295000,2800000,599900,0,2022
10969, Pine Island, NY,4,349000,600000,580000,0,2022
10970, Pomona, NY,34,89900,6000000,499000,0,2022
10973, Slate Hill, NY,10,60000,3300000,535000,0,2022
10974, Sloatsburg, NY,16,30000,2500000,495000,0,2022
10975, Southfields, NY,3,210000,400000,210000,0,2022
10976, Sparkill, NY,5,575000,4900000,632500,0,2022
10977, Spring Valley, NY,61,65000,1700000,699000,0,2022
10980, Stony Point, NY,39,65000,2900000,549900,0,2022
